Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
PYPL,Buy,8,71.36,59.58,-16.5,8.6,18.48,3.57
GXO,Buy,9,48.93,53.13,8.58,5.97,19.56,-15.59
BA,Hold,8,172.76,215.61,24.8,-9.53,-15.44,3.19
CPS,Buy,9,15.32,35.27,130.22,-13.71,-8.36,1.11
XLU,Sell/Reduce,7,36.29,43.02,18.56,7.53,7.75,7.26
AAP,Buy,9,49.63,40.91,-17.57,-20.61,-23.89,-9.11
INTC,Buy,8,20.1,37.47,86.44,12.24,19.45,14.38
QXO,Buy,8,14.0,21.85,56.04,10.93,14.21,-14.21
PYPL,Buy,8,71.36,59.58,-16.5,8.6,18.48,3.57
GXO,Buy,9,48.93,53.13,8.58,5.97,19.56,-15.59
BA,Hold,8,172.76,215.61,24.8,-9.53,-15.44,3.19
CPS,Buy,9,15.32,35.27,130.22,-13.71,-8.36,1.11
XLU,Sell/Reduce,7,36.29,43.02,18.56,7.53,7.75,7.26
AAP,Buy,9,49.63,40.91,-17.57,-20.61,-23.89,-9.11
INTC,Buy,8,20.1,37.47,86.44,12.24,19.45,14.38
QXO,Buy,8,14.0,21.85,56.04,10.93,14.21,-14.21
PYPL,Buy,8,71.36,59.58,-16.5,8.6,18.48,3.57
GXO,Buy,9,48.93,53.13,8.58,5.97,19.56,-15.59
BA,Hold,8,172.76,215.61,24.8,-9.53,-15.44,3.19
CPS,Buy,9,15.32,35.27,130.22,-13.71,-8.36,1.11
XLU,Sell/Reduce,7,36.29,43.02,18.56,7.53,7.75,7.26
AAP,Buy,9,49.63,40.91,-17.57,-20.61,-23.89,-9.11
INTC,Buy,8,20.1,37.47,86.44,12.24,19.45,14.38
QXO,Buy,8,14.0,21.85,56.04,10.93,14.21,-14.21
PYPL,Buy,8,71.36,59.58,-16.5,8.6,18.48,3.57
GXO,Buy,9,48.93,53.13,8.58,5.97,19.56,-15.59
BA,Hold,8,172.76,215.61,24.8,-9.53,-15.44,3.19
CPS,Buy,9,15.32,35.27,130.22,-13.71,-8.36,1.11
XLU,Sell/Reduce,7,36.29,43.02,18.56,7.53,7.75,7.26
AAP,Buy,9,49.63,40.91,-17.57,-20.61,-23.89,-9.11
INTC,Buy,8,20.1,37.47,86.44,12.24,19.45,14.38
QXO,Buy,8,14.0,21.85,56.04,10.93,14.21,-14.21
