Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
LULU,Hold,5,169.66,215.11,26.79,21.59,,
NOV,Buy,9,15.2,15.54,2.24,6.84,,
CTRA,Buy,9,25.84,25.43,-1.59,1.66,,
BAX,Hold,7,18.69,19.07,2.03,4.49,,
GXO,Buy,9,49.91,53.17,6.53,4.87,,
QXO,Buy,9,17.49,21.88,25.1,21.84,,
DEO,Buy,8,96.05,88.39,-7.98,-7.42,,
BA,Consider Buying,7,194.58,208.27,7.04,5.61,,
JHX,Due Diligence,7,16.75,20.38,21.67,21.67,,
PYPL,Hold,7,65.18,59.44,-8.81,-6.81,,
BABA,Hold,7,159.84,147.32,-7.83,-6.1,,
RXO,Hold,4,10.63,14.22,33.77,41.11,,
WEN,Avoid,3,8.57,8.44,-1.47,-3.92,,
DHI,Hold,4,143.4,151.4,5.58,9.11,,
HUM,Hold,5,236.74,260.67,10.11,16.05,,
LULU,Hold,5,169.66,215.11,26.79,21.59,,
NOV,Buy,9,15.2,15.54,2.24,6.84,,
CTRA,Buy,9,25.84,25.43,-1.59,1.66,,
BAX,Hold,7,18.69,19.07,2.03,4.49,,
GXO,Buy,9,49.91,53.17,6.53,4.87,,
QXO,Buy,9,17.49,21.88,25.1,21.84,,
DEO,Buy,8,96.05,88.39,-7.98,-7.42,,
BA,Consider Buying,7,194.58,208.27,7.04,5.61,,
JHX,Due Diligence,7,16.75,20.38,21.67,21.67,,
PYPL,Hold,7,65.18,59.44,-8.81,-6.81,,
BABA,Hold,7,159.84,147.32,-7.83,-6.1,,
RXO,Hold,4,10.63,14.22,33.77,41.11,,
WEN,Avoid,3,8.57,8.44,-1.47,-3.92,,
DHI,Hold,4,143.4,151.4,5.58,9.11,,
HUM,Hold,5,236.74,260.67,10.11,16.05,,
LULU,Hold,5,169.66,215.11,26.79,21.59,,
NOV,Buy,9,15.2,15.54,2.24,6.84,,
CTRA,Buy,9,25.84,25.43,-1.59,1.66,,
BAX,Hold,7,18.69,19.07,2.03,4.49,,
GXO,Buy,9,49.91,53.17,6.53,4.87,,
QXO,Buy,9,17.49,21.88,25.1,21.84,,
DEO,Buy,8,96.05,88.39,-7.98,-7.42,,
BA,Consider Buying,7,194.58,208.27,7.04,5.61,,
JHX,Due Diligence,7,16.75,20.38,21.67,21.67,,
PYPL,Hold,7,65.18,59.44,-8.81,-6.81,,
BABA,Hold,7,159.84,147.32,-7.83,-6.1,,
RXO,Hold,4,10.63,14.22,33.77,41.11,,
WEN,Avoid,3,8.57,8.44,-1.47,-3.92,,
DHI,Hold,4,143.4,151.4,5.58,9.11,,
HUM,Hold,5,236.74,260.67,10.11,16.05,,
LULU,Hold,5,169.66,215.11,26.79,21.59,,
NOV,Buy,9,15.2,15.54,2.24,6.84,,
CTRA,Buy,9,25.84,25.43,-1.59,1.66,,
BAX,Hold,7,18.69,19.07,2.03,4.49,,
GXO,Buy,9,49.91,53.17,6.53,4.87,,
QXO,Buy,9,17.49,21.88,25.1,21.84,,
DEO,Buy,8,96.05,88.39,-7.98,-7.42,,
BA,Consider Buying,7,194.58,208.27,7.04,5.61,,
JHX,Due Diligence,7,16.75,20.38,21.67,21.67,,
PYPL,Hold,7,65.18,59.44,-8.81,-6.81,,
BABA,Hold,7,159.84,147.32,-7.83,-6.1,,
RXO,Hold,4,10.63,14.22,33.77,41.11,,
WEN,Avoid,3,8.57,8.44,-1.47,-3.92,,
DHI,Hold,4,143.4,151.4,5.58,9.11,,
HUM,Hold,5,236.74,260.67,10.11,16.05,,
