Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
VFC,Buy,8,16.13,18.69,15.89,19.13,61.15,-28.76
BA,Buy,9,155.2,215.61,38.92,-3.81,14.55,17.27
TSLA,Hold,8,260.48,479.84,84.21,35.35,52.83,12.11
BABA,Buy,10,94.76,151.14,59.5,-13.73,-0.34,23.37
INTC,Hold,7,22.34,37.47,67.75,9.67,-11.37,-8.95
META,Hold,8,565.54,667.65,18.06,-1.52,18.86,-2.18
PBF,Hold,5,30.2,26.2,-13.24,1.37,-6.18,-44.74
ADM,Hold,5,53.87,58.49,8.58,-5.08,-9.62,-13.68
SMCI,Avoid,2,46.23,30.83,-33.31,-28.29,-39.04,-22.13
DNA,Avoid,3,7.94,8.27,4.13,-9.57,54.66,-7.05
CCI,Hold,7,104.31,86.77,-16.81,-5.39,-18.17,-3.87
CIM,Avoid,2,13.9,12.98,-6.62,-5.48,-3.97,-16.17
WPC,Hold,5,55.23,64.94,17.59,-2.48,-3.38,7.66
MPW,Avoid,3,4.53,5.12,13.2,-12.58,-7.94,15.1
AMR,Avoid,1,203.37,211.16,3.83,20.7,-9.26,-39.5
VFC,Buy,8,16.13,18.69,15.89,19.13,61.15,-28.76
BA,Buy,9,155.2,215.61,38.92,-3.81,14.55,17.27
TSLA,Hold,8,260.48,479.84,84.21,35.35,52.83,12.11
BABA,Buy,10,94.76,151.14,59.5,-13.73,-0.34,23.37
INTC,Hold,7,22.34,37.47,67.75,9.67,-11.37,-8.95
META,Hold,8,565.54,667.65,18.06,-1.52,18.86,-2.18
PBF,Hold,5,30.2,26.2,-13.24,1.37,-6.18,-44.74
ADM,Hold,5,53.87,58.49,8.58,-5.08,-9.62,-13.68
SMCI,Avoid,2,46.23,30.83,-33.31,-28.29,-39.04,-22.13
DNA,Avoid,3,7.94,8.27,4.13,-9.57,54.66,-7.05
CCI,Hold,7,104.31,86.77,-16.81,-5.39,-18.17,-3.87
CIM,Avoid,2,13.9,12.98,-6.62,-5.48,-3.97,-16.17
WPC,Hold,5,55.23,64.94,17.59,-2.48,-3.38,7.66
MPW,Avoid,3,4.53,5.12,13.2,-12.58,-7.94,15.1
AMR,Avoid,1,203.37,211.16,3.83,20.7,-9.26,-39.5
VFC,Buy,8,16.13,18.69,15.89,19.13,61.15,-28.76
BA,Buy,9,155.2,215.61,38.92,-3.81,14.55,17.27
TSLA,Hold,8,260.48,479.84,84.21,35.35,52.83,12.11
BABA,Buy,10,94.76,151.14,59.5,-13.73,-0.34,23.37
INTC,Hold,7,22.34,37.47,67.75,9.67,-11.37,-8.95
META,Hold,8,565.54,667.65,18.06,-1.52,18.86,-2.18
PBF,Hold,5,30.2,26.2,-13.24,1.37,-6.18,-44.74
ADM,Hold,5,53.87,58.49,8.58,-5.08,-9.62,-13.68
SMCI,Avoid,2,46.23,30.83,-33.31,-28.29,-39.04,-22.13
DNA,Avoid,3,7.94,8.27,4.13,-9.57,54.66,-7.05
CCI,Hold,7,104.31,86.77,-16.81,-5.39,-18.17,-3.87
CIM,Avoid,2,13.9,12.98,-6.62,-5.48,-3.97,-16.17
WPC,Hold,5,55.23,64.94,17.59,-2.48,-3.38,7.66
MPW,Avoid,3,4.53,5.12,13.2,-12.58,-7.94,15.1
AMR,Avoid,1,203.37,211.16,3.83,20.7,-9.26,-39.5
