Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
PFE,Buy,9,25.7,25.04,-2.57,,,
PZZA,Buy,8,42.36,40.77,-3.75,,,
LLY,Hold,5,1014.49,1056.88,4.18,,,
VFC,Hold,5,18.48,18.36,-0.64,,,
SPY,Hold,5,684.39,676.47,-1.16,,,
INTC,Buy,7,40.5,36.28,-10.42,,,
NVDA,Hold,5,183.38,174.14,-5.04,,,
QXO,Buy,7,20.58,21.88,6.32,,,
BAX,Buy,8,18.48,19.07,3.19,,,
CRK,Buy,9,26.83,21.03,-21.62,,,
CTRA,Buy,9,27.34,25.43,-6.99,,,
CPS,Buy,8,29.98,34.76,15.94,,,
F,Buy,7,13.14,13.32,1.37,,,
GM,Buy,7,75.14,81.17,8.03,,,
AMZN,Hold,5,229.11,226.76,-1.03,,,
GXO,Buy,9,52.15,53.17,1.96,,,
BABA,Hold,7,157.44,147.32,-6.43,,,
PYPL,Buy,9,61.73,59.44,-3.71,,,
CCI,Buy,8,87.57,86.9,-0.77,,,
HRL,Buy,7,24.16,24.0,-0.66,,,
SPY,Hold,5,684.39,676.47,-1.16,,,
MSFT,Hold,5,480.84,483.98,0.65,,,
XOM,Hold,5,117.14,116.54,-0.51,,,
DIS,Hold,7,104.76,111.87,6.79,,,
BA,Hold,7,201.87,208.27,3.17,,,
GNRC,Buy,8,163.24,136.99,-16.08,,,
SWK,Buy,7,72.21,72.94,1.01,,,
BMY,Hold,5,51.95,53.33,2.66,,,
SBAC,Hold,5,190.0,190.36,0.19,,,
ATI,Hold,5,100.4,109.76,9.32,,,
HQY,Hold,5,95.67,95.5,-0.18,,,
TTWO,Hold,5,247.51,246.65,-0.35,,,
DHR,Hold,5,227.13,224.35,-1.22,,,
PFE,Buy,9,25.7,25.04,-2.57,,,
PZZA,Buy,8,42.36,40.77,-3.75,,,
LLY,Hold,5,1014.49,1056.88,4.18,,,
VFC,Hold,5,18.48,18.36,-0.64,,,
SPY,Hold,5,684.39,676.47,-1.16,,,
INTC,Buy,7,40.5,36.28,-10.42,,,
NVDA,Hold,5,183.38,174.14,-5.04,,,
QXO,Buy,7,20.58,21.88,6.32,,,
BAX,Buy,8,18.48,19.07,3.19,,,
CRK,Buy,9,26.83,21.03,-21.62,,,
CTRA,Buy,9,27.34,25.43,-6.99,,,
CPS,Buy,8,29.98,34.76,15.94,,,
F,Buy,7,13.14,13.32,1.37,,,
GM,Buy,7,75.14,81.17,8.03,,,
AMZN,Hold,5,229.11,226.76,-1.03,,,
GXO,Buy,9,52.15,53.17,1.96,,,
BABA,Hold,7,157.44,147.32,-6.43,,,
PYPL,Buy,9,61.73,59.44,-3.71,,,
CCI,Buy,8,87.57,86.9,-0.77,,,
HRL,Buy,7,24.16,24.0,-0.66,,,
SPY,Hold,5,684.39,676.47,-1.16,,,
MSFT,Hold,5,480.84,483.98,0.65,,,
XOM,Hold,5,117.14,116.54,-0.51,,,
DIS,Hold,7,104.76,111.87,6.79,,,
BA,Hold,7,201.87,208.27,3.17,,,
GNRC,Buy,8,163.24,136.99,-16.08,,,
SWK,Buy,7,72.21,72.94,1.01,,,
BMY,Hold,5,51.95,53.33,2.66,,,
SBAC,Hold,5,190.0,190.36,0.19,,,
ATI,Hold,5,100.4,109.76,9.32,,,
HQY,Hold,5,95.67,95.5,-0.18,,,
TTWO,Hold,5,247.51,246.65,-0.35,,,
DHER.DE,Hold,5,18.58,21.63,16.42,,,
PFE,Buy,9,25.7,25.04,-2.57,,,
PZZA,Buy,8,42.36,40.77,-3.75,,,
LLY,Hold,5,1014.49,1056.88,4.18,,,
VFC,Hold,5,18.48,18.36,-0.64,,,
SPY,Hold,5,684.39,676.47,-1.16,,,
INTC,Buy,7,40.5,36.28,-10.42,,,
NVDA,Hold,5,183.38,174.14,-5.04,,,
QXO,Buy,7,20.58,21.88,6.32,,,
BAX,Buy,8,18.48,19.07,3.19,,,
CRK,Buy,9,26.83,21.03,-21.62,,,
CTRA,Buy,9,27.34,25.43,-6.99,,,
CPS,Buy,8,29.98,34.76,15.94,,,
F,Buy,7,13.14,13.32,1.37,,,
GM,Buy,7,75.14,81.17,8.03,,,
AMZN,Hold,5,229.11,226.76,-1.03,,,
GXO,Buy,9,52.15,53.17,1.96,,,
BABA,Hold,7,157.44,147.32,-6.43,,,
PYPL,Buy,9,61.73,59.44,-3.71,,,
CCI,Buy,8,87.57,86.9,-0.77,,,
HRL,Buy,7,24.16,24.0,-0.66,,,
SPY,Hold,5,684.39,676.47,-1.16,,,
MSFT,Hold,5,480.84,483.98,0.65,,,
XOM,Hold,5,117.14,116.54,-0.51,,,
DIS,Hold,7,104.76,111.87,6.79,,,
BA,Hold,7,201.87,208.27,3.17,,,
GNRC,Buy,8,163.24,136.99,-16.08,,,
SWK,Buy,7,72.21,72.94,1.01,,,
BMY,Hold,5,51.95,53.33,2.66,,,
SBAC,Hold,5,190.0,190.36,0.19,,,
ATI,Hold,5,100.4,109.76,9.32,,,
HQY,Hold,5,95.67,95.5,-0.18,,,
TTWO,Hold,5,247.51,246.65,-0.35,,,
DHER.DE,Hold,5,18.58,21.63,16.42,,,
PFE,Buy,9,25.7,25.04,-2.57,,,
PZZA,Buy,8,42.36,40.77,-3.75,,,
LLY,Hold,5,1014.49,1056.88,4.18,,,
VFC,Hold,5,18.48,18.36,-0.64,,,
SPY,Hold,5,684.39,676.47,-1.16,,,
INTC,Buy,7,40.5,36.28,-10.42,,,
NVDA,Hold,5,183.38,174.14,-5.04,,,
QXO,Buy,7,20.58,21.88,6.32,,,
BAX,Buy,8,18.48,19.07,3.19,,,
CRK,Buy,9,26.83,21.03,-21.62,,,
CTRA,Buy,9,27.34,25.43,-6.99,,,
CPS,Buy,8,29.98,34.76,15.94,,,
F,Buy,7,13.14,13.32,1.37,,,
GM,Buy,7,75.14,81.17,8.03,,,
AMZN,Hold,5,229.11,226.76,-1.03,,,
GXO,Buy,9,52.15,53.17,1.96,,,
BABA,Hold,7,157.44,147.32,-6.43,,,
PYPL,Buy,9,61.73,59.44,-3.71,,,
CCI,Buy,8,87.57,86.9,-0.77,,,
HRL,Buy,7,24.16,24.0,-0.66,,,
SPY,Hold,5,684.39,676.47,-1.16,,,
MSFT,Hold,5,480.84,483.98,0.65,,,
XOM,Hold,5,117.14,116.54,-0.51,,,
DIS,Hold,7,104.76,111.87,6.79,,,
BA,Hold,7,201.87,208.27,3.17,,,
GNRC,Buy,8,163.24,136.99,-16.08,,,
SWK,Buy,7,72.21,72.94,1.01,,,
BMY,Hold,5,51.95,53.33,2.66,,,
SBAC,Hold,5,190.0,190.36,0.19,,,
ATI,Hold,5,100.4,109.76,9.32,,,
HQY,Hold,5,95.67,95.5,-0.18,,,
TTWO,Hold,5,247.51,246.65,-0.35,,,
DHER.DE,Hold,5,18.58,21.63,16.42,,,
