Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
PLTR,Do not buy the dip. Michael Burry shorted it.,8,175.05,185.69,6.08,3.68,,
NVDA,Take profits. Consider rotating into Intel.,7,188.07,174.14,-7.41,-1.34,,
ORCL,"Hold, but monitor capex spending and return on invested capital.",5,243.8,180.03,-26.16,-9.54,,
BABA,Buy on dips. Cheapest AI play in the world.,9,167.61,147.32,-12.11,-5.66,,
INTC,Buy on dips. Key supplier for AI chip designers.,8,37.24,36.28,-2.58,8.22,,
PYPL,Buy aggressively. Sentiment is at peak aversion.,9,66.11,59.44,-10.09,-7.54,,
BAX,Buy. Temporary issues create a buying opportunity.,8,17.97,19.07,6.12,1.05,,
GPRE,Buy. Natural gas play with Jerry Jones involved.,7,9.62,9.76,1.46,-1.14,,
GNRC,Buy. Backdoor way to play the AI boom.,7,153.79,136.99,-10.92,6.66,,
ADBE,Buy. Software stock that is cheap.,7,327.35,355.81,8.69,3.6,,
DIS,Buy. A sleeper.,7,109.75,111.87,1.93,-2.59,,
ZBH,Buy. Healthcare and pretty cheap.,7,88.51,90.4,2.14,4.79,,
PLTR,Do not buy the dip. Michael Burry shorted it.,8,175.05,185.69,6.08,3.68,,
NVDA,Take profits. Consider rotating into Intel.,7,188.07,174.14,-7.41,-1.34,,
ORCL,"Hold, but monitor capex spending and return on invested capital.",5,243.8,180.03,-26.16,-9.54,,
BABA,Buy on dips. Cheapest AI play in the world.,9,167.61,147.32,-12.11,-5.66,,
INTC,Buy on dips. Key supplier for AI chip designers.,8,37.24,36.28,-2.58,8.22,,
PYPL,Buy aggressively. Sentiment is at peak aversion.,9,66.11,59.44,-10.09,-7.54,,
BAX,Buy. Temporary issues create a buying opportunity.,8,17.97,19.07,6.12,1.05,,
GPRE,Buy. Natural gas play with Jerry Jones involved.,7,9.62,9.76,1.46,-1.14,,
GNRC,Buy. Backdoor way to play the AI boom.,7,153.79,136.99,-10.92,6.66,,
ADBE,Buy. Software stock that is cheap.,7,327.35,355.81,8.69,3.6,,
DIS,Buy. A sleeper.,7,109.75,111.87,1.93,-2.59,,
ZBH,Buy. Healthcare and pretty cheap.,7,88.51,90.4,2.14,4.79,,
PLTR,Do not buy the dip. Michael Burry shorted it.,8,175.05,185.69,6.08,3.68,,
NVDA,Take profits. Consider rotating into Intel.,7,188.07,174.14,-7.41,-1.34,,
ORCL,"Hold, but monitor capex spending and return on invested capital.",5,243.8,180.03,-26.16,-9.54,,
BABA,Buy on dips. Cheapest AI play in the world.,9,167.61,147.32,-12.11,-5.66,,
INTC,Buy on dips. Key supplier for AI chip designers.,8,37.24,36.28,-2.58,8.22,,
PYPL,Buy aggressively. Sentiment is at peak aversion.,9,66.11,59.44,-10.09,-7.54,,
BAX,Buy. Temporary issues create a buying opportunity.,8,17.97,19.07,6.12,1.05,,
GPRE,Buy. Natural gas play with Jerry Jones involved.,7,9.62,9.76,1.46,-1.14,,
GNRC,Buy. Backdoor way to play the AI boom.,7,153.79,136.99,-10.92,6.66,,
ADBE,Buy. Software stock that is cheap.,7,327.35,355.81,8.69,3.6,,
DIS,Buy. A sleeper.,7,109.75,111.87,1.93,-2.59,,
ZBH,Buy. Healthcare and pretty cheap.,7,88.51,90.4,2.14,4.79,,
PLTR,Do not buy the dip. Michael Burry shorted it.,8,175.05,185.69,6.08,3.68,,
NVDA,Take profits. Consider rotating into Intel.,7,188.07,174.14,-7.41,-1.34,,
ORCL,"Hold, but monitor capex spending and return on invested capital.",5,243.8,180.03,-26.16,-9.54,,
BABA,Buy on dips. Cheapest AI play in the world.,9,167.61,147.32,-12.11,-5.66,,
INTC,Buy on dips. Key supplier for AI chip designers.,8,37.24,36.28,-2.58,8.22,,
PYPL,Buy aggressively. Sentiment is at peak aversion.,9,66.11,59.44,-10.09,-7.54,,
BAX,Buy. Temporary issues create a buying opportunity.,8,17.97,19.07,6.12,1.05,,
GPRE,Buy. Natural gas play with Jerry Jones involved.,7,9.62,9.76,1.46,-1.14,,
GNRC,Buy. Backdoor way to play the AI boom.,7,153.79,136.99,-10.92,6.66,,
ADBE,Buy. Software stock that is cheap.,7,327.35,355.81,8.69,3.6,,
DIS,Buy. A sleeper.,7,109.75,111.87,1.93,-2.59,,
ZBH,Buy. Healthcare and pretty cheap.,7,88.51,90.4,2.14,4.79,,
