Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
BABA,Buy,9,173.93,147.32,-15.3,-5.56,,
INTC,Buy,10,40.16,36.28,-9.66,-0.37,,
CRK,Buy,8,18.38,21.03,14.42,44.12,,
TSLA,Hold,4,440.1,483.37,9.83,-2.26,,
NFLX,Hold,4,108.9,94.0,-13.68,0.21,,
XLE,Buy,8,43.74,44.13,0.88,4.38,,
PYPL,Buy,9,67.77,59.44,-12.3,-7.66,,
TFX,Monitor,5,124.45,124.5,0.04,-8.07,,
PRGS,Monitor,5,41.83,43.43,3.83,0.29,,
CAG,Hold,6,17.42,17.8,2.18,1.44,,
FMC,Hold,7,15.53,13.63,-12.23,-10.88,,
CMG,Monitor,5,32.53,37.63,15.68,5.26,,
INMD,Monitor,6,14.71,14.56,-1.02,-2.79,,
SFM,Sell,2,77.25,80.15,3.75,11.15,,
BABA,Buy,9,173.93,147.32,-15.3,-5.56,,
INTC,Buy,10,40.16,36.28,-9.66,-0.37,,
CRK,Buy,8,18.38,21.03,14.42,44.12,,
TSLA,Hold,4,440.1,483.37,9.83,-2.26,,
NFLX,Hold,4,108.9,94.0,-13.68,0.21,,
XLE,Buy,8,43.74,44.13,0.88,4.38,,
PYPL,Buy,9,67.77,59.44,-12.3,-7.66,,
TFX,Monitor,5,124.45,124.5,0.04,-8.07,,
PRGS,Monitor,5,41.83,43.43,3.83,0.29,,
CAG,Hold,6,17.42,17.8,2.18,1.44,,
FMC,Hold,7,15.53,13.63,-12.23,-10.88,,
CMG,Monitor,5,32.53,37.63,15.68,5.26,,
INMD,Monitor,6,14.71,14.56,-1.02,-2.79,,
SFM,Sell,2,77.25,80.15,3.75,11.15,,
BABA,Buy,9,173.93,147.32,-15.3,-5.56,,
INTC,Buy,10,40.16,36.28,-9.66,-0.37,,
CRK,Buy,8,18.38,21.03,14.42,44.12,,
TSLA,Hold,4,440.1,483.37,9.83,-2.26,,
NFLX,Hold,4,108.9,94.0,-13.68,0.21,,
XLE,Buy,8,43.74,44.13,0.88,4.38,,
PYPL,Buy,9,67.77,59.44,-12.3,-7.66,,
TFX,Monitor,5,124.45,124.5,0.04,-8.07,,
PRGS,Monitor,5,41.83,43.43,3.83,0.29,,
CAG,Hold,6,17.42,17.8,2.18,1.44,,
FMC,Hold,7,15.53,13.63,-12.23,-10.88,,
CMG,Monitor,5,32.53,37.63,15.68,5.26,,
INMD,Monitor,6,14.71,14.56,-1.02,-2.79,,
SFM,Sell,2,77.25,80.15,3.75,11.15,,
BABA,Buy,9,173.93,147.32,-15.3,-5.56,,
INTC,Buy,10,40.16,36.28,-9.66,-0.37,,
CRK,Buy,8,18.38,21.03,14.42,44.12,,
TSLA,Hold,4,440.1,483.37,9.83,-2.26,,
NFLX,Hold,4,108.9,94.0,-13.68,0.21,,
XLE,Buy,8,43.74,44.13,0.88,4.38,,
PYPL,Buy,9,67.77,59.44,-12.3,-7.66,,
TFX,Monitor,5,124.45,124.5,0.04,-8.07,,
PRGS,Monitor,5,41.83,43.43,3.83,0.29,,
CAG,Hold,6,17.42,17.8,2.18,1.44,,
FMC,Hold,7,15.53,13.63,-12.23,-10.88,,
CMG,Monitor,5,32.53,37.63,15.68,5.26,,
INMD,Monitor,6,14.71,14.56,-1.02,-2.79,,
SFM,Sell,2,77.25,80.15,3.75,11.15,,
