Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
ALB,Buy on weakness,9,67.28,149.08,121.58,25.16,44.92,
INTC,Buy,10,19.8,37.48,89.31,22.98,108.79,
PYPL,Buy,10,68.6,59.58,-13.15,2.08,1.34,
BA,Hold,7,221.84,215.74,-2.75,5.79,-3.72,
BAX,Buy,9,21.6,19.12,-11.47,14.26,3.76,
VFC,Buy,10,11.59,18.79,62.08,29.1,24.88,
NOV,Buy,8,12.45,15.72,26.21,5.64,22.39,
GNRC,Hold,7,194.69,138.49,-28.87,-4.85,-7.1,
CCI,Hold,7,102.7,86.81,-15.48,-5.66,-11.16,
CPS,Hold,8,24.1,35.31,46.52,52.78,60.0,
ETSY,Hold,7,58.27,54.53,-6.42,-9.03,11.91,
BABA,Hold,9,120.63,151.15,25.3,11.91,49.19,
SWK,Monitor,5,66.12,72.98,10.38,9.82,4.58,
DIS,Monitor,5,118.31,112.69,-4.75,-0.61,-7.45,
QXO,Buy,7,20.06,21.77,8.55,0.35,-7.83,
MNST,Avoid,2,58.75,76.6,30.38,6.23,13.29,
UNH,Avoid,3,246.34,333.47,35.37,24.17,43.25,
TFX,Monitor,5,118.8,123.28,3.78,6.08,7.51,
DOW,Monitor,5,22.62,23.32,3.06,7.28,8.28,
HSIC,Monitor,5,67.65,77.49,14.55,2.85,-7.88,
PFE,Monitor,5,22.89,25.48,11.33,6.31,4.29,
GMED,Avoid,2,52.63,87.49,66.23,16.42,16.82,
