Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
PYPL,Buy,9,64.62,59.58,-7.8,7.84,20.4,7.55
BA,Buy,9,176.26,215.61,22.32,14.81,32.23,23.55
BABA,Buy,9,117.31,151.14,28.84,1.21,2.32,46.54
VFC,Buy,9,11.34,18.69,64.92,3.99,10.56,39.48
DIS,Buy,8,89.03,112.75,26.65,21.9,35.53,26.11
HRL,Consider,7,29.53,23.93,-18.98,-2.48,-2.22,-19.52
SMG,Consider,7,51.78,58.28,12.54,12.1,30.9,5.65
AA,Avoid,2,26.19,51.4,96.26,6.53,17.04,52.85
QXO,Buy,9,12.75,21.85,71.34,31.76,74.04,43.53
ATKR,Avoid,3,63.5,64.75,1.97,1.77,24.06,6.43
TSLA,Avoid,2,259.51,479.84,84.9,30.76,21.79,73.01
NVDA,Hold,5,106.41,179.92,69.08,23.36,63.03,71.18
SPY,Buy,8,543.57,680.66,25.22,5.93,16.88,23.58
RRC,Hold,7,33.61,34.53,2.72,16.8,4.78,11.28
WFC,Hold,7,68.42,92.87,35.74,5.28,21.88,22.8
XOM,Hold,7,105.72,116.79,10.46,-4.28,2.57,8.75
GOOG,Hold,7,161.03,305.73,89.86,5.03,20.34,57.47
AMZN,Hold,7,186.54,228.68,22.59,7.75,24.07,18.52
TGT,Hold,7,92.06,96.99,5.35,0.06,12.54,1.1
WMT,Hold,7,95.19,113.99,19.75,0.76,1.95,12.03
HD,Hold,7,353.12,346.94,-1.75,0.85,5.01,8.34
USB,Hold,7,39.19,54.18,38.24,7.22,16.93,22.01
