Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
BA,Buy,10,167.75,215.61,28.53,-0.92,-3.68,19.38
BABA,Buy,10,87.75,151.14,72.25,-7.61,59.97,31.09
CRI,Buy,9,52.98,31.92,-39.75,-2.96,-24.69,-43.17
AAP,Buy,9,43.06,40.91,-4.99,1.31,-13.88,10.98
ETSY,Buy,8,58.58,54.5,-6.96,-9.06,-23.76,-6.91
INTC,Monitor,7,20.78,37.47,80.34,-5.1,24.74,0.1
NVDA,Avoid,8,137.3,179.92,31.04,-0.8,-15.95,4.95
KRE,Monitor,6,63.31,67.36,6.38,-2.85,-11.77,-13.02
VFC,Hold,7,20.55,18.69,-9.03,9.42,-24.05,-42.92
DIS,Hold,7,113.14,112.75,-0.35,-5.43,-13.15,3.27
BA,Buy,10,167.75,215.61,28.53,-0.92,-3.68,19.38
BABA,Buy,10,87.75,151.14,72.25,-7.61,59.97,31.09
CRI,Buy,9,52.98,31.92,-39.75,-2.96,-24.69,-43.17
AAP,Buy,9,43.06,40.91,-4.99,1.31,-13.88,10.98
ETSY,Buy,8,58.58,54.5,-6.96,-9.06,-23.76,-6.91
INTC,Monitor,7,20.78,37.47,80.34,-5.1,24.74,0.1
NVDA,Avoid,8,137.3,179.92,31.04,-0.8,-15.95,4.95
KRE,Monitor,6,63.31,67.36,6.38,-2.85,-11.77,-13.02
VFC,Hold,7,20.55,18.69,-9.03,9.42,-24.05,-42.92
DIS,Hold,7,113.14,112.75,-0.35,-5.43,-13.15,3.27
BA,Buy,10,167.75,215.61,28.53,-0.92,-3.68,19.38
BABA,Buy,10,87.75,151.14,72.25,-7.61,59.97,31.09
CRI,Buy,9,52.98,31.92,-39.75,-2.96,-24.69,-43.17
AAP,Buy,9,43.06,40.91,-4.99,1.31,-13.88,10.98
ETSY,Buy,8,58.58,54.5,-6.96,-9.06,-23.76,-6.91
INTC,Monitor,7,20.78,37.47,80.34,-5.1,24.74,0.1
NVDA,Avoid,8,137.3,179.92,31.04,-0.8,-15.95,4.95
KRE,Monitor,6,63.31,67.36,6.38,-2.85,-11.77,-13.02
VFC,Hold,7,20.55,18.69,-9.03,9.42,-24.05,-42.92
DIS,Hold,7,113.14,112.75,-0.35,-5.43,-13.15,3.27
