Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
INTC,Buy,10,23.7,37.47,58.12,-16.71,-12.36,1.6
BABA,Buy on pullbacks,9,136.05,151.14,11.09,-22.13,-14.28,13.97
CPS,Buy,9,13.04,35.27,170.48,-7.13,72.47,190.26
STLA,Hold,7,10.87,11.6,6.7,-25.02,-6.91,-14.27
NVDA,Consider Intel instead,5,115.56,179.92,55.7,-4.02,25.46,53.87
TSLA,Avoid,3,240.68,479.84,99.37,4.83,32.59,64.51
VFC,Buy,8,16.01,18.69,16.76,-31.84,-21.98,-7.65
ALB,Buy,8,70.93,149.5,110.78,-21.29,-13.22,6.8
GOOG,Hold,5,164.28,305.73,86.1,-3.24,7.56,46.84
MSFT,Hold,5,376.75,485.2,28.79,2.56,26.66,35.09
