Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
NVDA,Sell/Avoid,9,117.54,179.92,53.07,3.28,15.1,-1.35
BA,Buy,9,172.26,215.61,25.17,-11.74,-11.53,-7.76
INTC,Buy,8,20.13,37.47,86.16,16.54,17.49,5.96
DIS,Buy,7,88.44,112.75,27.49,7.1,30.94,21.92
BABA,Buy,8,79.67,151.14,89.7,30.98,6.87,60.27
AAP,Buy,8,44.82,40.91,-8.73,-15.51,-3.06,-24.15
VFC,Buy,8,17.85,18.69,4.73,8.8,11.04,23.45
GOOS,Monitor,5,11.43,12.75,11.58,9.62,-17.15,-15.57
ZM,Avoid,2,69.94,89.77,28.35,-0.29,22.05,7.13
DG,Monitor,4,81.35,135.53,66.6,0.64,-8.61,-11.92
DLTR,Monitor,4,84.79,126.65,49.37,-17.07,-15.67,-21.36
AZO,Hold,5,3204.73,3401.04,6.13,-1.71,-0.46,8.39
PDD,Avoid,2,93.42,110.82,18.63,44.31,5.76,21.4
MODG,Avoid,1,10.04,12.19,21.46,9.36,-17.33,-39.34
