Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
INTC,Buy,8,19.4,37.47,93.17,16.44,13.2,2.73
GEN,Buy,8,25.38,27.7,9.15,5.98,22.72,7.68
PYPL,Buy,8,71.86,59.58,-17.09,10.18,24.02,-5.37
BABA,Buy,10,81.06,151.14,86.45,38.94,3.03,60.79
BA,Buy on dips,9,162.15,215.61,32.97,-4.41,-2.39,-8.63
AMZN,Sold,5,177.89,228.68,28.55,4.85,22.64,9.36
BAC,Sold,5,38.76,55.17,42.32,0.58,16.27,1.06
C,Sold,5,58.47,115.3,97.18,3.32,18.97,12.95
GOOG,"Sold majority, will extinguish the rest on strength",4,157.6,305.73,93.99,6.42,11.17,6.19
SMTC,Sold,5,42.17,73.33,73.89,-1.16,63.86,-25.44
MMM,"Sold, will consider re-entering below $100",6,128.28,162.41,26.61,2.95,-0.19,13.5
AAP,Buy,7,39.3,40.91,4.11,-4.37,9.51,-8.48
WHR,Monitor for potential entry,6,90.37,75.1,-16.9,6.83,14.08,0.24
SWK,Hold,7,93.12,72.96,-21.65,9.17,-11.73,-10.16
NVDA,Avoid,4,107.16,179.92,67.89,16.53,35.39,-0.2
ASOMY,Monitor for potential addition,6,5.55,3.54,-36.22,3.42,-13.69,-36.94
GXO,Hold,8,47.66,53.13,11.48,3.44,6.69,-21.34
INTC,Buy,8,19.4,37.47,93.17,16.44,13.2,2.73
GEN,Buy,8,25.38,27.7,9.15,5.98,22.72,7.68
PYPL,Buy,8,71.86,59.58,-17.09,10.18,24.02,-5.37
BABA,Buy,10,81.06,151.14,86.45,38.94,3.03,60.79
BA,Buy on dips,9,162.15,215.61,32.97,-4.41,-2.39,-8.63
AMZN,Sold,5,177.89,228.68,28.55,4.85,22.64,9.36
BAC,Sold,5,38.76,55.17,42.32,0.58,16.27,1.06
C,Sold,5,58.47,115.3,97.18,3.32,18.97,12.95
GOOG,"Sold majority, will extinguish the rest on strength",4,157.6,305.73,93.99,6.42,11.17,6.19
SMTC,Sold,5,42.17,73.33,73.89,-1.16,63.86,-25.44
MMM,"Sold, will consider re-entering below $100",6,128.28,162.41,26.61,2.95,-0.19,13.5
AAP,Buy,7,39.3,40.91,4.11,-4.37,9.51,-8.48
WHR,Monitor for potential entry,6,90.37,75.1,-16.9,6.83,14.08,0.24
SWK,Hold,7,93.12,72.96,-21.65,9.17,-11.73,-10.16
NVDA,Avoid,4,107.16,179.92,67.89,16.53,35.39,-0.2
ASOMY,Monitor for potential addition,6,5.55,3.54,-36.22,3.42,-13.69,-36.94
GXO,Hold,8,47.66,53.13,11.48,3.44,6.69,-21.34
INTC,Buy,8,19.4,37.47,93.17,16.44,13.2,2.73
GEN,Buy,8,25.38,27.7,9.15,5.98,22.72,7.68
PYPL,Buy,8,71.86,59.58,-17.09,10.18,24.02,-5.37
BABA,Buy,10,81.06,151.14,86.45,38.94,3.03,60.79
BA,Buy on dips,9,162.15,215.61,32.97,-4.41,-2.39,-8.63
AMZN,Sold,5,177.89,228.68,28.55,4.85,22.64,9.36
BAC,Sold,5,38.76,55.17,42.32,0.58,16.27,1.06
C,Sold,5,58.47,115.3,97.18,3.32,18.97,12.95
GOOG,"Sold majority, will extinguish the rest on strength",4,157.6,305.73,93.99,6.42,11.17,6.19
SMTC,Sold,5,42.17,73.33,73.89,-1.16,63.86,-25.44
MMM,"Sold, will consider re-entering below $100",6,128.28,162.41,26.61,2.95,-0.19,13.5
AAP,Buy,7,39.3,40.91,4.11,-4.37,9.51,-8.48
WHR,Monitor for potential entry,6,90.37,75.1,-16.9,6.83,14.08,0.24
SWK,Hold,7,93.12,72.96,-21.65,9.17,-11.73,-10.16
NVDA,Avoid,4,107.16,179.92,67.89,16.53,35.39,-0.2
ASOMY,Monitor for potential addition,6,5.55,3.54,-36.22,3.42,-13.69,-36.94
GXO,Hold,8,47.66,53.13,11.48,3.44,6.69,-21.34
