Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
GOOG,Hold,7,320.07,303.75,-5.1,,,
NVDA,Hold,5,180.25,174.14,-3.39,,,
BABA,Buy,10,157.6,147.32,-6.52,,,
DIS,Hold,9,102.73,111.87,8.89,,,
NOW,Hold,8,160.54,153.38,-4.46,,,
VFC,Hold,7,17.18,18.36,6.84,,,
CLX,Buy,7,107.75,99.39,-7.76,,,
TGT,Buy,6,89.8,99.05,10.3,,,
LYB,Buy,7,47.07,43.06,-8.51,,,
PYPL,Buy,8,61.83,59.44,-3.87,,,
FMC,Buy (Speculative),5,13.95,13.63,-2.29,,,
NVO,Buy on pullbacks,6,48.71,47.61,-2.26,,,
AMRZ,Monitor,5,50.2,54.53,8.63,,,
ZBH,Buy,7,97.55,90.4,-7.33,,,
RIG,Avoid,2,4.3,3.92,-8.84,,,
PG,Avoid,3,148.25,145.52,-1.84,,,
TSLA,Hold,4,426.58,483.37,13.31,,,
XBI,Hold,7,122.85,120.01,-2.31,,,
GOOG,Hold,7,319.91,303.75,-5.05,,,
NVDA,Hold,5,176.99,174.14,-1.61,,,
BABA,Buy,10,157.3,147.32,-6.34,,,
DIS,Hold,9,103.77,111.87,7.81,,,
NOW,Hold,8,162.48,153.38,-5.6,,,
VFC,Hold,7,17.41,18.36,5.44,,,
CLX,Buy,7,107.94,99.39,-7.92,,,
TGT,Buy,6,90.62,99.05,9.3,,,
LYB,Buy,7,47.62,43.06,-9.58,,,
PYPL,Buy,8,62.69,59.44,-5.18,,,
FMC,Buy (Speculative),5,14.29,13.63,-4.62,,,
NVO,Buy on pullbacks,6,49.35,47.61,-3.53,,,
AMRZ,Monitor,5,51.51,54.53,5.86,,,
ZBH,Buy,7,97.52,90.4,-7.3,,,
RIG,Avoid,2,4.41,3.92,-11.11,,,
PG,Avoid,3,148.16,145.52,-1.78,,,
TSLA,Hold,4,430.17,483.37,12.37,,,
GOOG,Hold,7,319.91,303.75,-5.05,,,
NVDA,Hold,5,176.99,174.14,-1.61,,,
BABA,Buy,10,157.3,147.32,-6.34,,,
DIS,Hold,9,103.77,111.87,7.81,,,
NOW,Hold,8,162.48,153.38,-5.6,,,
VFC,Hold,7,17.41,18.36,5.44,,,
CLX,Buy,7,107.94,99.39,-7.92,,,
TGT,Buy,6,90.62,99.05,9.3,,,
LYB,Buy,7,47.62,43.06,-9.58,,,
PYPL,Buy,8,62.69,59.44,-5.18,,,
FMC,Buy (Speculative),5,14.29,13.63,-4.62,,,
NVO,Buy on pullbacks,6,49.35,47.61,-3.53,,,
AMRZ,Monitor,5,51.51,54.53,5.86,,,
ZBH,Buy,7,97.52,90.4,-7.3,,,
RIG,Avoid,2,4.41,3.92,-11.11,,,
PG,Avoid,3,148.16,145.52,-1.78,,,
TSLA,Hold,4,430.17,483.37,12.37,,,
GOOG,Hold,7,319.91,303.75,-5.05,,,
NVDA,Hold,5,176.99,174.14,-1.61,,,
BABA,Buy,10,157.3,147.32,-6.34,,,
DIS,Hold,9,103.77,111.87,7.81,,,
NOW,Hold,8,162.48,153.38,-5.6,,,
VFC,Hold,7,17.41,18.36,5.44,,,
CLX,Buy,7,107.94,99.39,-7.92,,,
TGT,Buy,6,90.62,99.05,9.3,,,
LYB,Buy,7,47.62,43.06,-9.58,,,
PYPL,Buy,8,62.69,59.44,-5.18,,,
FMC,Buy (Speculative),5,14.29,13.63,-4.62,,,
NVO,Buy on pullbacks,6,49.35,47.61,-3.53,,,
AMRZ,Monitor,5,51.51,54.53,5.86,,,
ZBH,Buy,7,97.52,90.4,-7.3,,,
RIG,Avoid,2,4.41,3.92,-11.11,,,
PG,Avoid,3,148.16,145.52,-1.78,,,
TSLA,Hold,4,430.17,483.37,12.37,,,
GOOG,Hold,7,319.91,303.75,-5.05,,,
NVDA,Hold,5,176.99,174.14,-1.61,,,
BABA,Buy,10,157.3,147.32,-6.34,,,
DIS,Hold,9,103.77,111.87,7.81,,,
NOW,Hold,8,162.48,153.38,-5.6,,,
VFC,Hold,7,17.41,18.36,5.44,,,
CLX,Buy,7,107.94,99.39,-7.92,,,
TGT,Buy,6,90.62,99.05,9.3,,,
LYB,Buy,7,47.62,43.06,-9.58,,,
PYPL,Buy,8,62.69,59.44,-5.18,,,
FMC,Buy (Speculative),5,14.29,13.63,-4.62,,,
NVO,Buy on pullbacks,6,49.35,47.61,-3.53,,,
AMRZ,Monitor,5,51.51,54.53,5.86,,,
ZBH,Buy,7,97.52,90.4,-7.3,,,
RIG,Avoid,2,4.41,3.92,-11.11,,,
PG,Avoid,3,148.16,145.52,-1.78,,,
TSLA,Hold,4,430.17,483.37,12.37,,,
