Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
AAP,Buy,9,44.96,40.91,-9.01,-2.54,-29.76,38.99
BABA,Buy,8,81.06,151.14,86.45,53.95,32.08,48.37
BAX,Buy,8,30.4,19.13,-37.07,0.81,-6.2,-10.64
VFC,Hold,7,23.12,18.69,-19.15,10.91,-55.61,-46.74
CCI,Buy,7,86.21,86.77,0.65,-1.48,16.19,20.62
NVDA,Sell/Lighten Up,8,133.53,179.92,34.74,4.36,-24.01,28.33
LLY,Sell/Lighten Up,7,751.99,1070.96,42.42,13.34,11.06,0.98
TDOC,Avoid,9,9.16,7.2,-21.34,43.12,-25.44,-9.06
HSY,Watch,6,149.13,190.17,27.52,6.73,9.09,16.72
DG,Hold,6,68.06,135.53,99.15,8.33,35.24,57.16
AAP,Buy,9,44.96,40.91,-9.01,-2.54,-29.76,38.99
BABA,Buy,8,81.06,151.14,86.45,53.95,32.08,48.37
BAX,Buy,8,30.4,19.13,-37.07,0.81,-6.2,-10.64
VFC,Hold,7,23.12,18.69,-19.15,10.91,-55.61,-46.74
CCI,Buy,7,86.21,86.77,0.65,-1.48,16.19,20.62
NVDA,Sell/Lighten Up,8,133.53,179.92,34.74,4.36,-24.01,28.33
LLY,Sell/Lighten Up,7,751.99,1070.96,42.42,13.34,11.06,0.98
TDOC,Avoid,9,9.16,7.2,-21.34,43.12,-25.44,-9.06
HSY,Watch,6,149.13,190.17,27.52,6.73,9.09,16.72
DG,Hold,6,68.06,135.53,99.15,8.33,35.24,57.16
AAP,Buy,9,44.96,40.91,-9.01,-2.54,-29.76,38.99
BABA,Buy,8,81.06,151.14,86.45,53.95,32.08,48.37
BAX,Buy,8,30.4,19.13,-37.07,0.81,-6.2,-10.64
VFC,Hold,7,23.12,18.69,-19.15,10.91,-55.61,-46.74
CCI,Buy,7,86.21,86.77,0.65,-1.48,16.19,20.62
NVDA,Sell/Lighten Up,8,133.53,179.92,34.74,4.36,-24.01,28.33
LLY,Sell/Lighten Up,7,751.99,1070.96,42.42,13.34,11.06,0.98
TDOC,Avoid,9,9.16,7.2,-21.34,43.12,-25.44,-9.06
HSY,Watch,6,149.13,190.17,27.52,6.73,9.09,16.72
DG,Hold,6,68.06,135.53,99.15,8.33,35.24,57.16
