Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
EL,Buy on weakness,8,93.62,108.12,15.49,-6.62,,
DEO,Buy on weakness,8,92.97,89.68,-3.54,-2.34,,
GOOS,Hold,9,13.24,12.73,-3.85,-4.91,,
QXO,Hold,9,19.73,21.75,10.26,-12.87,,
BABA,Hold,7,173.68,151.14,-12.98,-4.23,,
UPS,Pass for now,5,83.82,101.19,20.72,12.51,,
GPRK,Do more research,4,6.57,7.13,8.52,24.81,,
ANF,Pass,2,76.91,120.43,56.59,-6.94,,
FMX,Pass,3,95.18,100.96,6.08,0.7,,
CIVI,Pass,1,32.38,27.24,-15.89,-17.18,,
FMC,Do more research,6,29.88,13.48,-54.89,-53.18,,
PZZA,Do more research,6,41.86,40.5,-3.23,-2.95,,
MGM,Pass,4,32.45,37.53,15.67,0.65,,
HWM,Pass,3,188.72,203.59,7.88,9.51,,
UA,Pass,1,4.7,4.32,-8.19,-5.53,,
DIS,Hold,7,110.24,112.62,2.16,-0.23,,
BAX,Hold,7,22.5,19.11,-15.04,-20.04,,
HRL,Hold,7,23.48,23.92,1.89,-6.16,,
NVDA,Hold,5,192.56,179.77,-6.64,-2.3,,
GXO,Hold,9,53.73,52.96,-1.43,-5.38,,
F,Hold,5,11.37,13.44,18.27,16.2,,
XBI,Hold,8,106.52,123.69,16.12,2.29,,
