Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
GS,Monitor,6,492.64,898.55,82.4,15.24,11.4,-1.15
UNH,Monitor,6,574.81,333.88,-41.91,2.41,-11.59,2.22
CAT,Monitor,6,388.9,575.71,48.04,3.4,-11.09,-25.39
BABA,"Buy on pullbacks, reload options under $100",10,106.1,151.14,42.45,-7.18,-25.36,-0.15
KWEB,Monitor for entry point,7,33.46,36.71,9.69,-0.9,-18.44,-8.76
FXI,Monitor,5,31.51,38.69,22.77,1.92,-11.32,1.96
COM,Hold,9,27.68,29.54,6.71,1.33,1.34,0.27
PFE,Monitor,7,27.72,25.48,-8.09,-9.04,-10.12,-25.08
ILMN,Monitor,7,140.0,134.25,-4.11,10.82,-2.36,-46.59
UPS,Monitor,6,122.93,101.24,-17.65,0.86,-6.17,-25.05
FDX,Monitor,6,257.25,286.59,11.41,7.02,2.81,-20.67
CVS,Pass,4,62.57,78.12,24.87,-12.53,-26.41,7.89
CPS,Hold,8,13.26,35.27,165.99,20.06,-0.3,-8.67
NVDA,Avoid,2,132.6,179.92,35.68,12.24,2.46,-16.36
CNXC,Pass,2,45.65,41.55,-8.98,-8.1,-2.34,4.86
TLT,Monitor,5,89.81,87.54,-2.52,-2.98,-8.54,-6.05
BA,Buy on dips,7,149.37,215.61,44.35,1.08,15.15,5.0
TXT,Pass,3,86.23,89.35,3.62,1.77,-12.36,-23.89
GS,Monitor,6,492.64,898.55,82.4,15.24,11.4,-1.15
UNH,Monitor,6,574.81,333.88,-41.91,2.41,-11.59,2.22
CAT,Monitor,6,388.9,575.71,48.04,3.4,-11.09,-25.39
BABA,"Buy on pullbacks, reload options under $100",10,106.1,151.14,42.45,-7.18,-25.36,-0.15
KWEB,Monitor for entry point,7,33.46,36.71,9.69,-0.9,-18.44,-8.76
FXI,Monitor,5,31.51,38.69,22.77,1.92,-11.32,1.96
COM,Hold,9,27.68,29.54,6.71,1.33,1.34,0.27
PFE,Monitor,7,27.72,25.48,-8.09,-9.04,-10.12,-25.08
ILMN,Monitor,7,140.0,134.25,-4.11,10.82,-2.36,-46.59
UPS,Monitor,6,122.93,101.24,-17.65,0.86,-6.17,-25.05
FDX,Monitor,6,257.25,286.59,11.41,7.02,2.81,-20.67
CVS,Pass,4,62.57,78.12,24.87,-12.53,-26.41,7.89
CPS,Hold,8,13.26,35.27,165.99,20.06,-0.3,-8.67
NVDA,Avoid,2,132.6,179.92,35.68,12.24,2.46,-16.36
CNXC,Pass,2,45.65,41.55,-8.98,-8.1,-2.34,4.86
TLT,Monitor,5,89.81,87.54,-2.52,-2.98,-8.54,-6.05
BA,Buy on dips,7,149.37,215.61,44.35,1.08,15.15,5.0
TXT,Pass,3,86.23,89.35,3.62,1.77,-12.36,-23.89
GS,Monitor,6,492.64,898.55,82.4,15.24,11.4,-1.15
UNH,Monitor,6,574.81,333.88,-41.91,2.41,-11.59,2.22
CAT,Monitor,6,388.9,575.71,48.04,3.4,-11.09,-25.39
BABA,"Buy on pullbacks, reload options under $100",10,106.1,151.14,42.45,-7.18,-25.36,-0.15
KWEB,Monitor for entry point,7,33.46,36.71,9.69,-0.9,-18.44,-8.76
FXI,Monitor,5,31.51,38.69,22.77,1.92,-11.32,1.96
COM,Hold,9,27.68,29.54,6.71,1.33,1.34,0.27
PFE,Monitor,7,27.72,25.48,-8.09,-9.04,-10.12,-25.08
ILMN,Monitor,7,140.0,134.25,-4.11,10.82,-2.36,-46.59
UPS,Monitor,6,122.93,101.24,-17.65,0.86,-6.17,-25.05
FDX,Monitor,6,257.25,286.59,11.41,7.02,2.81,-20.67
CVS,Pass,4,62.57,78.12,24.87,-12.53,-26.41,7.89
CPS,Hold,8,13.26,35.27,165.99,20.06,-0.3,-8.67
NVDA,Avoid,2,132.6,179.92,35.68,12.24,2.46,-16.36
CNXC,Pass,2,45.65,41.55,-8.98,-8.1,-2.34,4.86
TLT,Monitor,5,89.81,87.54,-2.52,-2.98,-8.54,-6.05
BA,Buy on dips,7,149.37,215.61,44.35,1.08,15.15,5.0
TXT,Pass,3,86.23,89.35,3.62,1.77,-12.36,-23.89
GS,Monitor,6,491.21,898.55,82.93,16.98,12.31,1.05
UNH,Monitor,6,581.11,333.88,-42.54,3.03,-9.12,-0.98
CAT,Monitor,6,389.34,575.71,47.87,-0.47,-8.28,-24.29
BABA,"Buy on pullbacks, reload options under $100",10,107.46,151.14,40.64,-13.81,-26.3,4.29
KWEB,Monitor for entry point,7,33.54,36.71,9.44,-7.75,-18.09,-6.7
FXI,Monitor,5,31.93,38.69,21.18,-5.27,-12.04,1.95
COM,Hold,9,27.73,29.54,6.52,0.66,1.02,-0.01
PFE,Monitor,7,26.94,25.48,-5.43,-7.52,-7.24,-22.17
ILMN,Monitor,7,143.76,134.25,-6.62,5.1,0.32,-47.79
UPS,Monitor,6,122.79,101.24,-17.55,-0.3,-4.74,-23.73
FDX,Monitor,6,256.89,286.59,11.56,8.33,4.42,-19.53
CVS,Pass,4,63.4,78.12,23.22,-15.99,-22.07,6.0
CPS,Hold,8,13.0,35.27,171.31,24.46,5.23,-4.85
NVDA,Avoid,2,134.76,179.92,33.51,9.51,-1.17,-17.86
CNXC,Pass,2,44.52,41.55,-6.67,-9.1,2.33,9.76
TLT,Monitor,5,89.46,87.54,-2.14,-1.36,-8.22,-5.01
BA,Buy on dips,7,146.62,215.61,47.05,3.45,16.33,8.63
TXT,Pass,3,86.24,89.35,3.6,1.4,-10.84,-23.54
