Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
VFC,Buy,9,12.82,18.76,46.38,14.18,19.84,
LOGI,Monitor,7,96.95,103.88,7.14,11.71,24.93,
GXO,Buy,8,53.63,52.96,-1.25,-5.39,-3.02,
BABA,Hold,8,122.28,151.14,23.6,29.24,29.14,
NVDA,Trim,5,182.0,179.77,-1.23,-2.34,6.48,
AAPL,Hold,5,232.55,270.6,16.36,1.68,17.59,
SPY,Rotate,5,643.17,680.57,5.82,2.47,6.25,
IBM,Hold,5,235.81,301.37,27.8,8.07,33.57,
T,Hold,5,28.44,24.08,-15.36,3.03,-9.82,
LULU,Hold,5,195.19,209.23,7.19,-18.04,-12.44,
GILD,Hold,5,117.42,125.12,6.56,-4.79,4.4,
XOM,Hold,7,105.47,116.6,10.56,5.6,11.03,
DIS,Hold,7,115.53,112.62,-2.52,-0.59,0.29,
ELV,Avoid,2,292.32,344.68,17.91,4.45,11.5,
UNH,Monitor,6,267.99,333.69,24.52,28.95,25.68,
CROX,Avoid,2,84.03,88.7,5.56,-7.68,-11.4,
TTD,Avoid,2,50.76,37.33,-26.47,-10.28,-13.73,
SG,Avoid,3,9.15,6.98,-23.73,-8.2,-41.31,
ETHM,Monitor,6,10.9,10.38,-4.77,-0.09,-5.5,
CRK,Hold,7,15.93,21.62,35.73,1.95,58.32,
WFC,Hold,5,78.99,92.99,17.71,2.52,9.2,
