Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
BKV,Buy,7,18.0,27.17,50.94,0.28,25.89,16.67
CMCSA,Buy,8,39.23,29.7,-24.29,2.32,-6.05,-8.61
NKE,Buy,7,86.89,58.96,-32.15,-11.79,-13.49,-28.26
PYPL,Hold,7,79.9,59.58,-25.43,2.02,10.06,-18.52
BABA,Buy,10,103.32,151.14,46.28,-7.28,-18.07,25.85
INTC,Buy,7,23.92,37.47,56.67,-5.18,-14.55,-5.06
QCOM,Buy discreetly,7,168.0,176.4,5.0,-1.38,-7.7,-10.09
WGS,Avoid,10,40.62,139.41,243.21,44.81,95.59,118.03
CHI,Avoid,8,10.14,10.81,6.56,1.5,7.98,-12.9
BKV,Buy,7,18.0,27.17,50.94,0.28,25.89,16.67
CMCSA,Buy,8,39.23,29.7,-24.29,2.32,-6.05,-8.61
NKE,Buy,7,86.89,58.96,-32.15,-11.79,-13.49,-28.26
PYPL,Hold,7,79.9,59.58,-25.43,2.02,10.06,-18.52
BABA,Buy,10,103.32,151.14,46.28,-7.28,-18.07,25.85
INTC,Buy,7,23.92,37.47,56.67,-5.18,-14.55,-5.06
QCOM,Buy discreetly,7,168.0,176.4,5.0,-1.38,-7.7,-10.09
WGS,Avoid,10,40.62,139.41,243.21,44.81,95.59,118.03
CHI,Avoid,8,10.14,10.81,6.56,1.5,7.98,-12.9
BKV,Buy,7,18.0,27.17,50.94,0.28,25.89,16.67
CMCSA,Buy,8,39.23,29.7,-24.29,2.32,-6.05,-8.61
NKE,Buy,7,86.89,58.96,-32.15,-11.79,-13.49,-28.26
PYPL,Hold,7,79.9,59.58,-25.43,2.02,10.06,-18.52
BABA,Buy,10,103.32,151.14,46.28,-7.28,-18.07,25.85
INTC,Buy,7,23.92,37.47,56.67,-5.18,-14.55,-5.06
QCOM,Buy discreetly,7,168.0,176.4,5.0,-1.38,-7.7,-10.09
WGS,Avoid,10,40.62,139.41,243.21,44.81,95.59,118.03
CHI,Avoid,8,10.14,10.81,6.56,1.5,7.98,-12.9
BKV,Buy,7,18.0,27.17,50.94,0.28,25.89,16.67
CMCSA,Buy,8,39.23,29.7,-24.29,2.32,-6.05,-8.61
NKE,Buy,7,86.89,58.96,-32.15,-11.79,-13.49,-28.26
PYPL,Hold,7,79.9,59.58,-25.43,2.02,10.06,-18.52
BABA,Buy,10,103.32,151.14,46.28,-7.28,-18.07,25.85
INTC,Buy,7,23.92,37.47,56.67,-5.18,-14.55,-5.06
QCOM,Buy discreetly,7,168.0,176.4,5.0,-1.38,-7.7,-10.09
WGS,Avoid,10,40.62,139.41,243.21,44.81,95.59,118.03
CHI,Avoid,8,10.14,10.81,6.56,1.5,7.98,-12.9
