Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
QXO,Buy,9,16.75,21.8,30.15,29.25,31.64,22.87
BABA,Hold/Buy on dips,8,117.97,151.18,28.16,-8.46,14.93,33.46
F,Hold,7,9.85,13.45,36.52,15.64,17.8,33.37
BA,Hold,7,209.02,215.8,3.24,4.55,9.85,-3.42
HRL,Buy,8,30.04,23.93,-20.33,1.27,-15.64,-19.58
DEO,Buy,8,102.51,89.69,-12.51,-0.01,4.8,-12.7
APTV,Monitor,6,65.48,78.73,20.24,9.13,22.85,16.74
BTMD,Due Diligence,7,3.67,2.76,-24.8,10.63,-5.72,-29.97
INTC,Hold,5,19.99,37.49,87.54,18.01,22.51,102.6
SCVL,Hold,6,19.11,18.72,-2.09,8.29,27.89,-4.68
FMC,Buy,8,40.62,13.56,-66.6,4.76,-8.6,-67.28
AAPL,Hold,5,200.21,270.82,35.27,4.68,19.6,40.2
TLT,Monitor,6,84.57,87.51,3.48,-0.11,3.61,4.74
PFE,Monitor,6,22.33,25.5,14.15,10.81,9.47,15.07
SG,Pass,3,13.9,7.0,-49.67,-3.24,-35.76,-50.36
VSAT,Avoid,2,9.12,33.52,267.54,74.56,225.11,285.31
SWBI,Avoid,3,9.31,10.43,11.97,-10.03,-8.56,-5.48
RH,Pass,3,175.5,171.13,-2.49,13.74,43.02,-8.87
CRON,Due Diligence,4,1.91,2.9,52.09,8.9,30.89,30.37
RICK,Avoid,3,40.14,23.36,-41.81,-0.59,-10.34,-34.68
