Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
QXO,Buy,10,13.2,21.85,65.5,9.47,59.47,40.76
URI,Hold,8,576.16,804.83,39.69,22.74,39.79,64.54
BA,Buy,8,155.52,215.61,38.64,27.66,48.22,35.5
DIS,Buy,8,84.3,112.75,33.75,29.64,41.36,28.66
VFC,Buy,7,11.24,18.69,66.36,26.22,7.83,17.67
BABA,Hold,7,102.45,151.14,47.53,27.23,5.63,55.21
SWK,Buy,7,56.62,72.96,28.87,23.6,23.57,12.48
BAX,Hold,6,27.77,19.13,-31.12,13.29,1.95,-21.01
VFC,Hold,6,11.24,18.69,66.36,26.22,7.83,17.67
NKE,Buy,7,53.42,58.96,10.36,15.04,33.7,21.31
ETSY,Hold,7,43.58,54.5,25.07,9.2,32.42,57.71
NSC,Hold,5,212.09,292.21,37.78,11.66,22.76,35.32
EL,Hold,7,52.63,108.49,106.14,22.63,68.95,65.92
FSLR,Watch,5,122.19,266.04,117.72,27.84,31.63,84.88
DG,Hold,5,86.17,135.53,57.29,2.71,31.96,15.15
DAL,Trade,6,38.99,71.09,82.34,29.93,48.07,46.98
SWKS,Research,7,52.21,64.85,24.21,35.66,39.65,30.98
INTC,Hold,7,19.88,37.47,88.51,11.57,17.2,82.95
CPB,Pass,4,36.86,28.67,-22.21,-4.87,-17.71,-17.56
JHX,Research,7,21.36,20.45,-4.26,19.15,24.91,-0.33
QXO,Buy,10,13.2,21.85,65.5,9.47,59.47,40.76
URI,Hold,8,576.16,804.83,39.69,22.74,39.79,64.54
BA,Buy,8,155.52,215.61,38.64,27.66,48.22,35.5
DIS,Buy,8,84.3,112.75,33.75,29.64,41.36,28.66
VFC,Buy,7,11.24,18.69,66.36,26.22,7.83,17.67
BABA,Hold,7,102.45,151.14,47.53,27.23,5.63,55.21
SWK,Buy,7,56.62,72.96,28.87,23.6,23.57,12.48
BAX,Hold,6,27.77,19.13,-31.12,13.29,1.95,-21.01
VFC,Hold,6,11.24,18.69,66.36,26.22,7.83,17.67
NKE,Buy,7,53.42,58.96,10.36,15.04,33.7,21.31
ETSY,Hold,7,43.58,54.5,25.07,9.2,32.42,57.71
NSC,Hold,5,212.09,292.21,37.78,11.66,22.76,35.32
EL,Hold,7,52.63,108.49,106.14,22.63,68.95,65.92
FSLR,Watch,5,122.19,266.04,117.72,27.84,31.63,84.88
DG,Hold,5,86.17,135.53,57.29,2.71,31.96,15.15
DAL,Trade,6,38.99,71.09,82.34,29.93,48.07,46.98
SWKS,Research,7,52.21,64.85,24.21,35.66,39.65,30.98
INTC,Hold,7,19.88,37.47,88.51,11.57,17.2,82.95
CPB,Pass,4,36.86,28.67,-22.21,-4.87,-17.71,-17.56
JHX,Research,7,21.36,20.45,-4.26,19.15,24.91,-0.33
