Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
AAPL,Hold,5,229.81,270.6,17.75,6.63,21.31,
BABA,Strong Buy,10,155.44,151.14,-2.77,2.3,2.17,
PYPL,Strong Buy,9,67.11,59.58,-11.23,3.82,-8.87,
AAP,Hold,7,61.89,40.77,-34.12,-20.05,-20.75,
BAX,Buy,8,24.48,19.11,-21.91,-10.37,-25.4,
DIS,Hold,8,116.29,112.62,-3.16,-6.74,-7.05,
GNRC,Hold,8,187.86,138.64,-26.2,-9.46,-11.33,
INTC,Hold,8,24.61,37.46,52.19,47.79,65.7,
IWM,Hold,8,239.32,250.95,4.86,-0.97,6.12,
HRL,Buy,9,25.11,23.92,-4.73,-6.65,-5.44,
DEO,Buy,8,101.04,89.68,-11.25,-7.72,-14.82,
VFC,Buy,9,15.4,18.76,21.82,-14.15,24.45,
UPS,Watch,7,83.2,101.19,21.61,-2.1,19.75,
SBUX,Watch,5,81.77,89.04,8.89,-4.74,2.54,
CRVL,Pass,4,88.21,68.65,-22.17,-17.64,-21.64,
ANF,Avoid,2,94.24,120.43,27.79,-22.16,13.6,
EMN,Pass,5,66.23,63.36,-4.33,-13.25,-3.18,
LBRT,Avoid,3,11.05,17.36,57.18,8.56,82.66,
LULU,Watch,6,165.78,209.23,26.21,1.04,13.17,
FMC,Watch,8,37.54,13.48,-64.09,-22.53,-63.72,
LRN,Avoid,1,161.08,66.61,-58.64,-10.25,-61.06,
