Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
INTC,Buy,9,24.61,37.46,52.19,49.65,77.81,
NVDA,Hold or Reduce,7,171.64,179.77,4.74,9.3,4.63,
BABA,Strong Buy,10,130.92,151.14,15.44,43.62,20.75,
PYPL,Buy,8,68.3,59.58,-12.78,1.15,-10.34,
QXO,Buy,8,20.64,21.75,5.4,-1.99,-3.1,
TSLA,Avoid,6,338.53,482.64,42.57,26.97,31.96,
CAVA,Avoid,3,65.96,56.77,-13.93,-3.68,-17.39,
ETSY,Buy,8,52.21,54.55,4.48,38.63,3.1,
CTO,Buy,7,16.6,18.3,10.26,-4.26,6.65,
DIS,Buy,8,118.01,112.62,-4.57,-5.34,-11.0,
ISRG,Hold,5,454.52,573.14,26.1,-0.48,25.34,
