Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
CPS,Buy,9,25.9,35.27,36.18,-13.4,-0.12,10.62
QXO,Buy,7,13.89,21.85,57.28,44.92,38.8,16.2
BABA,Buy,9,123.7,151.14,22.18,-3.43,-2.7,35.5
BA,Hold,7,191.7,215.61,12.47,13.46,19.52,2.5
DIS,Hold,7,103.97,112.75,8.44,10.03,7.41,5.56
AAP,Hold,7,31.1,40.91,31.53,65.98,89.01,52.62
BDX,Pass,4,165.14,196.0,18.69,3.33,15.91,6.84
BGS,Pass,2,4.11,4.61,12.15,3.13,-5.04,20.8
PLCE,Pass,1,6.23,4.41,-29.22,-25.36,-29.37,28.89
INTC,Buy,7,21.0,37.47,78.45,-2.48,-5.0,77.33
