Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
DIS,Hold,7,110.79,112.75,1.76,11.18,5.46,-7.27
BA,"Hold stock, took profits on options",8,208.18,215.61,3.57,0.65,13.44,-10.21
KO,Hold,7,69.95,70.29,0.48,-0.33,-3.7,3.46
AAPL,"Hold, potential profit-taking in midsummer",5,199.53,271.07,35.85,2.61,16.44,39.1
BABA,Buy,10,115.23,151.14,31.16,-1.58,3.76,36.77
QXO,"Buy on dips, tuck away for 5-7 years",10,17.11,21.85,27.68,25.89,22.91,6.72
XPO,N/A,7,117.54,137.75,17.19,7.44,10.73,20.58
VTI,"Buy every month, double in months where your stomach is turning",7,288.44,336.43,16.64,5.08,10.67,15.95
NVDA,"Hold, potential profit-taking in midsummer",5,139.16,179.92,29.29,13.51,29.45,29.52
AMGN,Take a quick look,6,279.27,327.92,17.42,-1.53,1.55,23.38
INTC,Buy,7,20.25,37.47,85.06,10.62,23.11,81.78
XBI,Hold,8,80.43,123.89,54.04,3.08,12.23,52.74
LVMUY,Hold for long term,7,108.95,147.75,35.61,-3.57,10.37,32.95
UNH,Consider buying,7,292.25,333.88,14.25,5.37,2.1,12.07
GILD,Consider buying,6,108.85,125.0,14.84,0.49,2.02,16.38
AAP,Hold,8,47.92,40.91,-14.62,-3.87,25.67,7.45
GOOS,Hold,7,12.23,12.75,4.28,-8.5,7.77,11.37
VFC,Buy,9,12.62,18.69,48.1,-7.92,16.76,36.14
DOW,Wait for positive free cash flow,4,27.28,23.36,-14.37,-5.73,-12.53,-13.65
FMC,Consider buying,7,38.12,13.64,-64.23,7.63,1.34,-63.4
CRK,Hold,8,23.48,21.73,-7.45,17.84,-30.37,8.39
CIVI,Avoid,3,27.07,27.37,1.13,-1.53,29.74,3.32
OSCR,Need to understand the business,5,13.8,15.05,9.06,55.36,24.93,31.59
HP,Consider Hallebertton instead,5,14.97,28.09,87.59,-1.04,33.81,85.18
TEVA,Consider buying,6,17.53,30.46,73.76,-4.39,2.91,50.14
LVMUY,Hold for long term,7,108.95,147.75,35.61,-3.57,10.37,32.95
