Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
BABA,Buy,10,78.98,151.14,91.38,1.41,20.45,38.61
INTC,Buy on weakness,9,20.49,37.47,82.89,-6.93,22.25,-3.51
CPS,Buy on weakness,9,12.85,35.27,174.47,2.65,24.75,12.53
CCI,Hold,7,102.43,86.77,-15.29,5.99,-5.46,-16.75
NVDA,Avoid,8,104.93,179.92,71.47,1.43,38.73,27.27
AMD,Hold,5,136.32,213.55,56.65,1.34,6.44,-18.96
ULTA,Monitor,4,327.11,601.95,84.02,16.65,18.47,15.05
BABA,Buy,10,78.98,151.14,91.38,1.41,20.45,38.61
INTC,Buy on weakness,9,20.49,37.47,82.89,-6.93,22.25,-3.51
CPS,Buy on weakness,9,12.85,35.27,174.47,2.65,24.75,12.53
CCI,Hold,7,102.43,86.77,-15.29,5.99,-5.46,-16.75
NVDA,Avoid,8,104.93,179.92,71.47,1.43,38.73,27.27
AMD,Hold,5,136.32,213.55,56.65,1.34,6.44,-18.96
ULTA,Monitor,4,327.11,601.95,84.02,16.65,18.47,15.05
BABA,Buy,10,78.98,151.14,91.38,1.41,20.45,38.61
INTC,Buy on weakness,9,20.49,37.47,82.89,-6.93,22.25,-3.51
CPS,Buy on weakness,9,12.85,35.27,174.47,2.65,24.75,12.53
CCI,Hold,7,102.43,86.77,-15.29,5.99,-5.46,-16.75
NVDA,Avoid,8,104.93,179.92,71.47,1.43,38.73,27.27
AMD,Hold,5,136.32,213.55,56.65,1.34,6.44,-18.96
ULTA,Monitor,4,327.11,601.95,84.02,16.65,18.47,15.05
