Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
BABA,Buy,10,119.57,151.14,26.4,50.46,31.81,
INTC,Buy,9,24.93,37.46,50.24,38.31,47.65,
NVDA,"Hold, Watch Guidance",7,180.15,179.77,-0.21,0.94,0.06,
QXO,Buy,9,21.03,21.75,3.45,-10.89,-13.17,
NOV,Buy,8,13.07,15.7,20.2,0.95,14.97,
DIS,Hold,6,116.85,112.62,-3.62,-2.43,-12.08,
HRL,Buy on dips,6,24.91,23.92,-3.97,-2.3,-6.74,
VFC,Hold,6,14.74,18.76,27.32,-2.44,16.59,
BA,Hold,6,236.16,215.8,-8.62,-8.08,-20.85,
BZH,Hold,6,25.2,20.9,-17.06,-2.02,-8.69,
LYV,Neutral,5,166.62,141.52,-15.06,-1.36,-21.35,
SEDG,Avoid,3,33.25,28.9,-13.08,13.32,6.68,
SNBR,Avoid,3,10.59,8.35,-21.12,-32.77,-55.05,
DOCU,Avoid,3,75.51,69.8,-7.56,8.78,-8.79,
XBI,Hold,6,90.26,123.69,37.04,10.12,36.1,
HTZ,Avoid,2,5.73,5.18,-9.69,19.37,-10.65,
FLWS,Neutral,4,5.6,4.24,-24.2,-13.21,-39.29,
BZH,Hold,6,25.2,20.9,-17.06,-2.02,-8.69,
