Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
NVDA,Sell/Avoid,10,120.12,179.92,49.79,-8.71,15.86,49.98
MSFT,Trim Back,8,390.44,485.2,24.27,-3.5,17.07,30.29
INTC,Buy,9,23.09,37.47,62.3,-1.65,-12.3,7.97
TSM,Monitor,5,178.68,290.16,62.39,-8.39,9.29,32.57
BABA,Buy on dips,10,134.28,151.14,12.56,-3.02,-14.19,-10.95
PFE,Monitor,6,24.74,25.48,2.99,-3.41,-8.44,-2.29
AAP,Buy,9,36.34,40.91,12.58,5.38,31.87,65.72
CCI,Buy,8,88.87,86.77,-2.36,12.72,9.18,7.48
TSLA,Avoid,7,281.95,479.84,70.19,-6.53,27.13,22.71
AMZN,Buy on pullbacks,7,208.74,228.68,9.55,-7.67,-1.46,10.95
GOOG,Buy on pullbacks,7,169.55,305.73,80.32,-8.21,1.73,25.06
CPS,Buy,9,14.92,35.27,136.39,4.36,55.9,142.16
BAX,Buy,8,34.48,19.13,-44.51,-3.38,-12.11,-29.76
GOOS,Buy,7,10.33,12.75,23.46,-20.23,18.39,27.59
ETSY,Buy,8,51.19,54.5,6.47,-8.79,3.52,5.24
