Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
XBI,Monitor for Re-entry,7,123.69,123.69,0.0,,,
BABA,Hold,8,151.14,151.14,0.0,,,
BA,Hold,9,215.8,215.8,0.0,,,
PYPL,Buy,10,59.58,59.58,0.0,,,
SWK,Hold,8,72.97,72.97,0.0,,,
VFC,Hold,8,18.76,18.76,0.0,,,
NOV,Hold,8,15.7,15.7,0.0,,,
PFE,Buy,9,25.45,25.45,0.0,,,
DIS,Hold,8,112.62,112.62,0.0,,,
ETSY,Hold,7,54.55,54.55,0.0,,,
INTC,Hold,8,37.46,37.46,0.0,,,
QXO,Hold,7,21.75,21.75,0.0,,,
UPS,Monitor,5,101.19,101.19,0.0,,,
F,Hold,7,13.44,13.44,0.0,,,
SLB,Hold,6,38.24,38.24,0.0,,,
CPS,Hold,7,35.31,35.31,0.0,,,
TCEHY,Hold,7,79.35,79.35,0.0,,,
KRO,Hold,6,4.66,4.66,0.0,,,
BRSL,Avoid,1,16.15,16.15,0.0,,,
NX,Avoid,1,15.58,15.58,0.0,,,
HQY,Monitor,5,96.84,96.84,0.0,,,
XBI,Monitor for Re-entry,7,120.01,123.69,3.07,,,
BABA,Hold,8,147.32,151.14,2.59,,,
BA,Hold,9,208.27,215.8,3.62,,,
PYPL,Buy,10,59.44,59.58,0.23,,,
SWK,Hold,8,72.94,72.97,0.04,,,
VFC,Hold,8,18.36,18.76,2.21,,,
NOV,Hold,8,15.54,15.7,1.06,,,
PFE,Buy,9,25.04,25.45,1.66,,,
DIS,Hold,8,111.87,112.62,0.67,,,
ETSY,Hold,7,53.68,54.55,1.62,,,
INTC,Hold,8,36.28,37.46,3.24,,,
QXO,Hold,7,21.88,21.75,-0.57,,,
UPS,Monitor,5,102.08,101.19,-0.87,,,
F,Hold,7,13.32,13.44,0.94,,,
SLB,Hold,6,38.13,38.24,0.3,,,
CPS,Hold,7,34.76,35.31,1.59,,,
TCEHY,Hold,7,77.6,79.35,2.26,,,
KRO,Hold,6,4.78,4.66,-2.51,,,
BRSL,Avoid,1,16.06,16.15,0.56,,,
NX,Avoid,1,16.26,15.58,-4.18,,,
HQY,Monitor,5,95.5,96.84,1.4,,,
