Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
DIS,Buy,9,87.43,112.75,28.96,3.45,15.69,23.94
GEN,Buy,8,24.22,27.7,14.37,7.53,23.24,12.54
MMM,"Hold SVENT spin-off, consider re-entry",6,123.48,162.41,31.53,6.43,3.93,19.01
INTC,"Hold, Re-added",7,20.69,37.47,81.13,1.06,20.44,32.38
GXO,Buy,9,48.64,53.13,9.23,4.98,24.2,-15.36
ASOMY,Watch,4,4.6,3.54,-23.04,25.22,-0.43,-0.87
SBUX,Watch,5,91.31,89.03,-2.49,2.12,5.82,21.25
NKE,Watch,5,79.84,58.96,-26.16,-2.84,-6.83,-5.05
BABA,Hold,7,78.22,151.14,93.23,5.1,15.67,59.54
PYPL,Hold,8,67.78,59.58,-12.1,4.61,28.51,15.72
AAPL,Avoid,3,223.46,271.07,21.3,-3.74,0.29,9.03
HD,Watch,5,347.36,346.94,-0.12,6.74,14.61,13.28
SWK,Hold,7,90.9,72.96,-19.73,6.85,-10.28,-8.51
GM,Avoid,3,44.19,82.44,86.56,4.74,28.97,7.8
FORD,Avoid,3,3.57,6.87,92.3,1.05,11.96,51.15
TM,Avoid,3,175.74,220.34,25.38,-3.06,-3.82,2.72
BA,Hold,7,176.41,215.61,22.22,-11.82,-20.66,4.85
GEN,Buy,8,24.22,27.7,14.37,7.53,23.24,12.54
NVR,Watch,5,8601.04,7415.52,-13.78,9.58,5.87,-15.55
AMR,Avoid,2,235.18,211.16,-10.21,-10.91,1.2,-27.6
OXY,Watch,5,56.07,39.74,-29.12,-10.9,-11.2,-14.77
