Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
PFE,Buy,9,25.8,25.45,-1.34,,,
PYPL,Buy,8,61.69,59.58,-3.43,,,
BABA,Buy,8,156.9,151.14,-3.67,,,
META,Hold,7,652.18,667.88,2.41,,,
GXO,Buy,9,53.8,52.96,-1.56,,,
INTC,Hold,8,39.51,37.46,-5.2,,,
UPS,Watch,5,100.48,101.19,0.7,,,
BA,Hold,7,200.71,215.8,7.52,,,
NVDA,Hold,6,180.93,179.77,-0.64,,,
PZZA,Buy,8,41.94,40.5,-3.42,,,
HRL,Buy,8,23.71,23.92,0.89,,,
AMZN,Hold,5,230.28,228.73,-0.67,,,
LXS.DE,Research,6,17.49,17.01,-2.74,,,
GIS,Buy,7,46.23,48.22,4.32,,,
WFG,Research,6,61.72,60.97,-1.22,,,
AMCR,Research,6,8.33,8.35,0.18,,,
MCO,Research,6,485.51,504.3,3.87,,,
DEO,Hold,7,87.79,89.68,2.15,,,
PYPL,Buy,8,61.69,59.58,-3.43,,,
BAH,Avoid,3,94.38,86.3,-8.56,,,
AKBA,Avoid,2,1.66,1.69,1.81,,,
MQ,Avoid,3,4.99,5.01,0.5,,,
